,Actual,Predicted from Decision_tree,,,Predicted from random_forest,,,Predicted from Xgboost
138,120.75,136.1126136,,,118.5022454,,,103.5280022
139,119.92,136.1126136,,,123.1674493,,,119.9417496
140,44.74,84.2534674,,,76.58118484,,,63.71280702
141,29.46,41.448,,,40.98983107,,,44.69069531
142,54.43,68.83264046,,,54.31174924,,,61.38357517
143,45.33,52.36857143,,,43.99254595,,,45.33906238
144,43.56,35.5675,,,46.98350669,,,43.54925754
145,193.79,119.5336364,,,122.7982433,,,193.5062424
146,57.08,61.21583333,,,61.35501946,,,57.05253336
147,51.64,52.36857143,,,60.17557221,,,51.67653373
148,62.05,96.04625,,,78.39203599,,,62.12405824
149,96.87,136.1126136,,,119.072877,,,96.86613356
150,107.24,136.1126136,,,120.9057353,,,112.6796307
151,84.19,87.86479064,,,102.9905903,,,84.1924791
152,106.25,84.2534674,,,82.12387924,,,64.22557318
153,89.07,68.83264046,,,66.10747924,,,89.0229237
154,53.31,41.08,,,40.3054185,,,53.36395285
155,64.91,68.83264046,,,59.75652861,,,64.86061554
156,51.08,68.83264046,,,64.79949713,,,64.01007365
157,64.74,103.766718,,,99.14661375,,,81.42122547
158,94.65,112.1627273,,,107.354606,,,94.64991322
159,45.59,45.515,,,49.86138872,,,45.55356114
160,42.62,42.93492308,,,43.70697253,,,42.66947493
161,59.92,52.36857143,,,58.18875354,,,59.96152588
162,81.38,87.86479064,,,92.30673465,,,81.40274016
163,117.59,112.1627273,,,118.4124223,,,117.6165691
164,124.73,136.1126136,,,125.7757112,,,124.7164563
165,118.3,136.1126136,,,123.776779,,,133.3818702
166,123.82,120.1421429,,,123.467847,,,122.2048274
167,120.23,120.1421429,,,123.1536615,,,120.240258
168,124.16,120.1421429,,,124.5416792,,,124.1463704
169,131.62,120.1421429,,,130.3132758,,,129.9843575
170,131.2,120.1421429,,,130.1583613,,,131.2087332
171,169.82,173.8021429,,,157.9809851,,,169.8183243
172,159.35,150.0712903,,,152.4686789,,,159.3400269
173,155.27,150.0712903,,,151.5938679,,,155.3370238
174,137.1,144.8016386,,,146.3747655,,,137.1174125
175,147.28,144.8016386,,,148.2502165,,,147.2401324
176,139.77,144.8016386,,,146.3786062,,,130.2975884
177,144.12,144.8016386,,,147.281456,,,144.0357615
178,145.66,150.0712903,,,147.1709354,,,145.7377947
179,125.03,120.1421429,,,122.2033332,,,124.9644848
180,136.74,120.1421429,,,125.5438718,,,123.8671047
181,151.1,150.0712903,,,150.6585471,,,149.8922914
182,145.49,150.0712903,,,149.0878277,,,145.504627
183,169.38,173.8021429,,,168.3290685,,,178.1209878
184,115.98,120.1421429,,,121.3608035,,,116.0202248
185,78.03,71.19,,,88.42012149,,,78.01918018
186,87.83,87.86479064,,,104.2319972,,,87.80872414
187,107.59,120.1421429,,,119.3263731,,,128.395625
188,138.32,144.8016386,,,142.2739901,,,138.3870535
189,126.01,120.1421429,,,122.2041438,,,126.0049094
190,154.14,144.8016386,,,152.336602,,,170.8422061
191,137.01,144.8016386,,,146.3747655,,,130.202275
192,142.02,150.0712903,,,147.036228,,,141.9510271
193,174.59,173.8021429,,,167.1569317,,,161.8396802
194,147.51,150.0712903,,,152.6844696,,,156.7490392
195,104.01,120.1421429,,,119.8941866,,,115.9572915
196,85.09,103.766718,,,101.0908301,,,85.11528574
197,117.1,120.1421429,,,121.130872,,,117.1124323
198,146.41,150.0712903,,,150.9691434,,,146.3166316
199,132.4,119.6268134,,,142.5264,,,132.3516323
200,132.61,120.1421429,,,129.7235594,,,129.3739373
201,140.43,150.0712903,,,145.9973523,,,140.5041973
