,Actual,Predicted from Decision_tree,,,Predicted from random_forest,,,Predicted from Xgboost
358,12.29,13.00142857,,,14.39481892,,,12.50105737
359,14.38,21.70433333,,,15.66659719,,,15.36012444
360,14.82,14.54,,,16.28187256,,,14.96979936
361,13.09,13.00142857,,,15.0304332,,,11.4997259
362,13.06,21.70433333,,,15.18508353,,,13.7065109
363,7.42,13.00142857,,,14.51141207,,,9.07460186
364,9.03,13.00142857,,,13.93685511,,,8.461640271
365,10.77,13.00142857,,,14.15836113,,,10.91867471
366,15.18,13.155,,,16.50653811,,,16.55946024
367,23.37,29.02273206,,,22.4464182,,,30.52524818
368,7.5,5.992222222,,,10.26531208,,,7.297675759
369,11.14,13.155,,,11.13304239,,,9.068663273
370,7.24,7.222222222,,,15.68825104,,,15.0107492
371,6.12,7.222222222,,,9.400457,,,6.629569023
372,7.75,7.222222222,,,14.49498818,,,8.996188027
373,5.29,5.992222222,,,10.92269955,,,6.409297766
374,5.62,7.222222222,,,11.47795533,,,7.996770662
375,10.24,11.35142857,,,11.87255677,,,8.844690258
376,7.04,7.222222222,,,8.585096444,,,5.577682712
377,9.62,7.222222222,,,9.34533861,,,6.499915174
378,7.9,5.992222222,,,9.709462707,,,8.24726021
379,6.03,5.992222222,,,10.83152025,,,8.433743967
380,6.1,5.992222222,,,12.62005338,,,10.46034209
381,5.92,5.992222222,,,11.13041544,,,6.651123474
382,3.66,3.77,,,10.58151455,,,3.027553356
383,8.13,7.222222222,,,9.562483497,,,8.490384587
384,16,45.1775,,,17.04020659,,,18.30896853
385,14.07,13.32769231,,,15.2595491,,,14.17486764
386,11.07,9.73,,,12.15025727,,,12.01703548
387,10.74,9.73,,,11.94340261,,,12.12580609
388,9.82,7.222222222,,,10.6671351,,,9.360770151
389,7.17,5.992222222,,,12.68083706,,,6.730089207
390,10.97,9.73,,,12.60247065,,,11.82133657
391,12.74,9.73,,,13.72987394,,,14.66581698
392,17.99,21.70433333,,,16.68727258,,,18.60682711
393,11.37,19.65560423,,,11.84865021,,,12.17317875
394,12.12,7.222222222,,,10.44025255,,,9.745603778
395,2.34,3.77,,,9.181242252,,,3.797323605
396,2.78,3.77,,,8.952228296,,,4.433551794
397,2.98,3.77,,,8.56276109,,,4.961696184
398,3.1,7.222222222,,,8.991323442,,,4.81403179
399,6.38,7.222222222,,,9.587293737,,,7.20576897
400,11.84,13.32769231,,,13.48417166,,,12.36883483
401,15.45,27.59560423,,,16.17404545,,,16.02879298
402,43.72922961,27.59560423,,,20.21877673,,,21.0388284
403,7.49,13.32769231,,,12.86068532,,,10.92322015
404,7.9,14.54,,,11.35289464,,,10.06492936
405,6.33,9.73,,,11.68648303,,,8.488882552
406,6.31,9.73,,,10.78861218,,,6.560228157
407,6.48,3.77,,,12.11851533,,,6.998336306
408,5.23,5.992222222,,,13.10645315,,,8.850126607
409,4.17,3.77,,,9.389860084,,,5.153200121
410,2.98,3.77,,,9.988469815,,,3.92710634
411,3.73,3.77,,,9.601973071,,,3.552001383
412,6.14,13.10406456,,,10.18208593,,,5.059915962
413,8.15,16.33526609,,,14.45529669,,,12.84940679
414,11.05,14.54,,,15.37245347,,,11.5759623
415,9.7,14.54,,,15.44360205,,,11.09281282
416,6.69,16.33526609,,,16.72656784,,,12.55014982
417,5.51,13.10406456,,,15.1166231,,,9.923702799
